stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
27.222068,merged_90840,-82.491905,,880_merged_87862,S TAMIAMI TRL & WHARF RD,US 41 @ WHARF RD,0
27.28467,merged_90841,-82.497574,,1775_merged_89156,,BENEVA RD @ PROCTOR RD,
27.325901,merged_90840,-82.518059,,563_merged_88685,,HATTON ST @ EUCLID AV,0
27.099834,merged_90840,-82.427364,,2819_merged_88686,959 E VENICE AVE & BAY INDIES BLVD,E VENICE AV @ BAY INDIES BV,0
27.049708,merged_90840,-82.404033,,3903_merged_87338,,US 41 S @ WOODMERE RD,0
27.333329,merged_90840,-82.526284,,3346_merged_87236,,SCHOOL AV @ SHOPPING LN,0
27.398552,merged_90840,-82.546813,,3639_merged_88268,,15TH ST E @ CONVENTION CENTER,0
27.344033,merged_90841,-82.54474,,486_merged_89707,,COCOANUT AV @ 9TH ST,
27.306842,merged_90840,-82.514254,,3387_merged_88181,S TUTTLE AVE & GOLDENROD ST,TUTTLE AV @ GOLDENROD ST,0
27.049083,merged_90840,-82.397375,,2682_merged_86728,JACARANDA BLVD,JACARANDA BV @ US 41 S,0
27.273831,merged_90841,-82.56436,,3210_merged_89087,,OCEAN BV @ CALLE MIRAMAR,
27.363355,merged_90840,-82.534614,,2115_merged_87824,,OSPREY AV @ 31ST ST,0
27.353034,merged_90841,-82.538485,,519_merged_89387,,ORANGE AV @ 18TH ST,
27.043473,merged_90840,-82.417534,,2854_merged_87157,,MERIDIAN RD @ SOUTH VENICE BV,0
27.331316,merged_90841,-82.53087,,2146_merged_89474,,US 301 @ OAK ST,
27.286549,merged_90841,-82.452139,,1411_merged_90145,,CATTLEMEN RD @ WHIRLAWAY DR,
27.345743,merged_90841,-82.497384,,3370_merged_90791,,BENEVA RD @ CHESHIRE SQ,
27.3053,merged_90840,-82.515129,,659_merged_88395,,SIESTA DR @ SOUTHGATE CR,0
27.359727,merged_90840,-82.516046,,991_merged_88450,,MLK @ CHESTER AVE,0
27.370866,merged_90841,-82.461087,,1374_merged_88908,,HONORE AV @ HUNTINGWOOD CT,
27.06855,merged_90840,-82.171595,,3862_merged_87473,,PRICE BLVD @ LAVINA ST,0
27.32724,merged_90840,-82.58317,,2442_merged_86700,,JOHN RINGLING PW @ MORNINGSIDE DR,0
27.319186,merged_90840,-82.531071,,1804_merged_87130,,WALDEMERE ST @ OSPREY AV,0
27.225799,merged_90841,-82.492025,,3615_merged_90045,,CENTRAL SARASOTA PKWY @ OAKS PLAZA,
27.04795,merged_90840,-82.27894,,2652_merged_88297,12146 S TAMIAMI TRL & RIVERWALK DR,TAMIAMI TRL @ DE MIRANDA AV,0
27.269186,merged_90841,-82.491832,,1446_merged_89684,,CLARK RD @ WILSHIRE BV,
27.274967,merged_90841,-82.456276,,3726_merged_90064,,GANTT RD @ CAMELOT LAKES PKWY,
