stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
587,NW 36 ST@EAST DR,,25.808296,-80.272452,,
588,NW 97 AV@NW 41 ST,,25.811066,-80.353598,,
589,NW 36 ST@NW 87 AV,,25.810302,-80.338872,,
590,SE 1ST@SE 1 AV,SE 1 ST & SE 1 AV,25.773315,-80.191272,,
591,S MIAMI AV@SE 9 ST,,25.765246,-80.19321,,
593,NE 36 St & Bisc Blvd,,25.810634,-80.189444,,
594,SE 8 ST@SE 1 AVE,,25.766386,-80.192314,,
595,W FLAGLER ST@NW 1 AV,,25.774205,-80.195265,,
597,NW 41 ST@NW 97 AV,,25.811484,-80.352281,,
598,NW 36 ST@MOKENA DR,,25.808164,-80.272703,,
599,NW 16 ST@NW 12 AV,,25.790488,-80.215765,,
604,NW 57 AV@NW 167 ST,,25.926415,-80.293409,,
605,NW 27 AV@NW 211 ST,,25.967883,-80.246874,,
