operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
South Florida Regional Transportation Authority ,TRI-Rail,4077,,
"South Lake County Community Services, Inc. ",SLCCS,5167,,
South Metro Area Regional Transit ,SMART,46,http://trilliumtransit.com/transit_feeds/wilsonville/google_transit.zip,
Southeast Area Transit ,SEAT,1040,,
Southeastern Pennsylvania Transportation Authority ,SEPTA,3019,,
Southeastern Regional Transit Authority ,SRTA,1006,,
Southern California Regional Rail Authority ,Metrolink,9151,,
Southwest Ohio Regional Transit Authority ,SORTA / Metro,5012,,
Southwestern Pennsylvania Commission ,SPC,3078,,
Space Coast Area Transit ,SCAT,4063,http://trilliumtransit.com/transit_feeds/spacecoast-fl-us/google_transit.zip,
Spartanburg County Transportation Services ,sctsb,4088,,
Spartanburg Transit System ,SPARTA,4101,,
Spokane Transit Authority ,STA,2,,
Springfield City Area Transit ,SCAT,5020,,
Springfield Mass Transit District ,SMTD,5059,,
"St Johns County, Florida, Board of County Commissioners ",St Johns County,4155,,
St. Cloud Metropolitan Transit Commission ,Metro Bus,5028,,
St. Joseph Transit ,The Ride,7032,,
Stark Area Regional Transit Authority ,SARTA,5011,,
StarTran ,,7001,,
State of Hawaii Department of Transportation ,HDOT,9210,,
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway ",SIRTOA,2099,,
Steel Valley Regional Transit Authority ,Steel Valley RTA,5142,,
Su Tran LLC dba: Sioux Area Metro ,SAM,8002,,
Suburban Mobility Authority for Regional Transportation ,SMART,5031,,
Suburban Transit Corporation ,Coach USA,2128,,
Suffolk County Department of Public Works - Transportation Division ,ST,2072,,
"Sun Cities Area Transit System, Inc. ",SCAT,9135,,
SunLine Transit Agency ,SunLine,9079,,
Surprise Dial-A-Ride Transit System ,,9137,,
